line,minute_ts,records,distinct_trains,ingest_lag_avg_sec
1호선,2026-06-24T08:37:00.000Z,209,47,-32314.0
9호선,2026-06-24T18:02:00.000Z,63,25,-32328.4
9호선,2026-06-24T12:20:00.000Z,28,18,-32343.7
1호선,2026-06-24T18:09:00.000Z,140,39,-32324.7
9호선,2026-06-24T12:31:00.000Z,26,17,-32356.7
9호선,2026-06-16T17:15:00.000Z,94,27,-31429.6
2호선,2026-06-24T08:36:00.000Z,120,51,-32338.0
9호선,2026-06-24T08:39:00.000Z,114,36,-32337.1
9호선,2026-06-16T16:26:00.000Z,80,25,-29965.8
9호선,2026-06-24T08:03:00.000Z,75,33,-32337.9
1호선,2026-06-24T08:31:00.000Z,162,51,-32301.2
9호선,2026-06-16T17:36:00.000Z,37,23,-31782.2
2호선,2026-06-24T18:01:00.000Z,99,40,-32337.6
2호선,2026-06-24T08:12:00.000Z,148,45,-32324.8
9호선,2026-06-24T12:02:00.000Z,50,22,-32309.6
1호선,2026-06-24T08:04:00.000Z,154,44,-32327.3
2호선,2026-06-24T12:22:00.000Z,61,29,-32342.6
2호선,2026-06-24T18:05:00.000Z,126,48,-32347.6
9호선,2026-06-24T12:16:00.000Z,41,19,-32334.6
1호선,2026-06-24T12:45:00.000Z,84,32,-32339.5
9호선,2026-06-24T18:51:00.000Z,71,29,-32347.0
9호선,2026-06-16T16:49:00.000Z,78,26,-30650.0
9호선,2026-06-16T17:39:00.000Z,38,25,-31961.1
1호선,2026-06-24T18:16:00.000Z,223,52,-32318.1
2호선,2026-06-24T08:24:00.000Z,103,41,-32328.1
2호선,2026-06-24T18:22:00.000Z,107,39,-32339.6
9호선,2026-06-24T12:13:00.000Z,45,23,-32325.4
2호선,2026-06-24T08:57:00.000Z,139,52,-32353.8
9호선,2026-06-24T12:41:00.000Z,57,24,-32299.1
9호선,2026-06-16T17:34:00.000Z,38,27,-31666.3
9호선,2026-06-16T16:35:00.000Z,46,18,-30240.0
2호선,2026-06-24T08:19:00.000Z,163,49,-32325.8
9호선,2026-06-24T08:33:00.000Z,103,29,-32316.2
1호선,2026-06-24T18:49:00.000Z,172,49,-32328.2
2호선,2026-06-24T08:51:00.000Z,83,44,-32339.8
9호선,2026-06-24T08:42:00.000Z,82,33,-32321.9
1호선,2026-06-24T07:48:00.000Z,20,8,-32180.2
9호선,2026-06-16T16:39:00.000Z,68,24,-30356.6
1호선,2026-06-24T18:43:00.000Z,175,43,-32325.9
1호선,2026-06-24T08:10:00.000Z,203,47,-32318.8
9호선,2026-06-24T18:00:00.000Z,65,30,-32327.4
9호선,2026-06-16T16:36:00.000Z,66,21,-30263.7
1호선,2026-06-24T12:48:00.000Z,90,32,-32316.2
1호선,2026-06-24T18:00:00.000Z,195,48,-32312.1
2호선,2026-06-24T12:34:00.000Z,48,28,-32352.9
9호선,2026-06-24T12:46:00.000Z,34,19,-32332.4
2호선,2026-06-24T12:38:00.000Z,44,28,-32355.5
9호선,2026-06-24T18:15:00.000Z,91,30,-32321.4
2호선,2026-06-24T12:10:00.000Z,51,28,-32355.3
1호선,2026-06-24T12:07:00.000Z,100,36,-32329.0
9호선,2026-06-24T18:07:00.000Z,83,26,-32307.1
1호선,2026-06-24T12:04:00.000Z,124,37,-32315.9
1호선,2026-06-24T18:28:00.000Z,224,54,-32319.2
1호선,2026-06-24T18:45:00.000Z,212,50,-32323.5
1호선,2026-06-24T08:40:00.000Z,224,54,-32314.3
1호선,2026-06-24T12:28:00.000Z,126,39,-32313.1
2호선,2026-06-24T12:59:00.000Z,15,15,-32366.5
2호선,2026-06-24T08:16:00.000Z,134,48,-32331.4
1호선,2026-06-24T12:00:00.000Z,97,32,-32332.6
2호선,2026-06-24T12:28:00.000Z,48,25,-32345.3
2호선,2026-06-24T18:34:00.000Z,128,47,-32340.1
2호선,2026-06-24T12:09:00.000Z,53,27,-32347.0
9호선,2026-06-24T12:38:00.000Z,39,19,-32337.5
9호선,2026-06-24T18:32:00.000Z,82,34,-32335.1
9호선,2026-06-24T12:40:00.000Z,39,22,-32347.5
1호선,2026-06-24T12:47:00.000Z,129,40,-32327.0
1호선,2026-06-24T08:45:00.000Z,191,46,-32315.5
2호선,2026-06-24T08:25:00.000Z,118,38,-32334.5
1호선,2026-06-24T12:55:00.000Z,104,30,-32316.4
9호선,2026-06-24T08:10:00.000Z,90,29,-32341.4
2호선,2026-06-24T18:15:00.000Z,130,46,-32340.2
1호선,2026-06-24T12:41:00.000Z,100,32,-32293.9
2호선,2026-06-24T18:45:00.000Z,135,42,-32341.7
9호선,2026-06-24T08:40:00.000Z,109,37,-32333.2
1호선,2026-06-24T11:55:00.000Z,1,1,-32130.0
9호선,2026-06-16T17:20:00.000Z,66,22,-31587.3
9호선,2026-06-16T17:43:00.000Z,34,25,-32202.9
1호선,2026-06-24T08:03:00.000Z,236,52,-32321.8
9호선,2026-06-16T16:41:00.000Z,66,23,-30410.5
9호선,2026-06-16T16:38:00.000Z,62,19,-30312.3
2호선,2026-06-24T08:34:00.000Z,134,58,-32338.2
2호선,2026-06-24T08:55:00.000Z,124,47,-32347.1
2호선,2026-06-24T08:02:00.000Z,153,57,-32352.0
1호선,2026-06-24T12:31:00.000Z,103,35,-32330.5
2호선,2026-06-24T18:38:00.000Z,93,38,-32345.6
2호선,2026-06-24T12:48:00.000Z,50,26,-32341.1
2호선,2026-06-24T12:14:00.000Z,51,27,-32351.3
1호선,2026-06-24T08:46:00.000Z,211,51,-32312.0
9호선,2026-06-24T18:20:00.000Z,83,33,-32343.4
9호선,2026-06-24T12:45:00.000Z,42,22,-32348.0
9호선,2026-06-16T17:05:00.000Z,68,23,-31134.7
9호선,2026-06-24T18:03:00.000Z,76,29,-32328.7
9호선,2026-06-24T18:01:00.000Z,93,32,-32325.5
1호선,2026-06-24T12:24:00.000Z,82,28,-32322.6
1호선,2026-06-24T11:57:00.000Z,13,9,-32238.5
9호선,2026-06-24T08:38:00.000Z,50,28,-32340.7
9호선,2026-06-16T16:21:00.000Z,56,20,-29803.0
2호선,2026-06-24T12:57:00.000Z,65,27,-32351.7
9호선,2026-06-24T08:19:00.000Z,119,34,-32327.9
2호선,2026-06-24T18:59:00.000Z,23,23,-32368.8
2호선,2026-06-24T18:35:00.000Z,118,46,-32338.0
2호선,2026-06-24T12:54:00.000Z,57,27,-32350.5
9호선,2026-06-24T08:14:00.000Z,91,34,-32319.3
2호선,2026-06-24T12:06:00.000Z,44,25,-32341.3
9호선,2026-06-24T08:47:00.000Z,62,32,-32335.8
1호선,2026-06-24T08:35:00.000Z,183,48,-32309.7
1호선,2026-06-24T12:42:00.000Z,123,38,-32329.2
2호선,2026-06-24T18:44:00.000Z,95,41,-32345.7
1호선,2026-06-24T08:57:00.000Z,178,52,-32342.0
9호선,2026-06-16T16:55:00.000Z,74,20,-30827.6
9호선,2026-06-16T16:30:00.000Z,62,19,-30072.5
1호선,2026-06-24T12:51:00.000Z,119,32,-32295.8
9호선,2026-06-24T12:35:00.000Z,40,23,-32332.6
9호선,2026-06-24T18:34:00.000Z,78,33,-32338.0
1호선,2026-06-24T11:59:00.000Z,96,33,-32315.2
2호선,2026-06-24T18:10:00.000Z,137,50,-32342.1
9호선,2026-06-16T17:02:00.000Z,82,26,-31047.0
2호선,2026-06-24T08:09:00.000Z,115,50,-32324.4
9호선,2026-06-24T18:59:00.000Z,8,8,-32367.6
9호선,2026-06-16T17:08:00.000Z,60,22,-31229.2
1호선,2026-06-24T18:47:00.000Z,194,52,-32310.5
1호선,2026-06-24T18:01:00.000Z,169,45,-32328.1
2호선,2026-06-24T07:54:00.000Z,100,45,-32342.5
9호선,2026-06-24T12:30:00.000Z,48,21,-32337.0
2호선,2026-06-24T07:50:00.000Z,72,48,-32313.3
9호선,2026-06-24T07:57:00.000Z,72,24,-32335.5
1호선,2026-06-24T12:38:00.000Z,83,33,-32323.7
9호선,2026-06-16T16:31:00.000Z,50,20,-30115.1
1호선,2026-06-24T08:41:00.000Z,149,49,-32315.3
9호선,2026-06-24T18:31:00.000Z,80,30,-32318.5
2호선,2026-06-24T18:48:00.000Z,127,48,-32347.3
2호선,2026-06-24T12:02:00.000Z,48,24,-32351.5
2호선,2026-06-24T18:49:00.000Z,102,43,-32344.5
1호선,2026-06-24T08:06:00.000Z,265,54,-32315.0
1호선,2026-06-24T12:17:00.000Z,100,32,-32330.7
2호선,2026-06-24T18:42:00.000Z,86,39,-32338.7
9호선,2026-06-24T08:36:00.000Z,81,31,-32330.4
9호선,2026-06-24T18:49:00.000Z,100,37,-32333.3
9호선,2026-06-24T08:09:00.000Z,84,31,-32309.5
9호선,2026-06-16T16:54:00.000Z,76,21,-30793.3
1호선,2026-06-24T08:20:00.000Z,145,32,-32308.6
1호선,2026-06-24T08:29:00.000Z,172,36,-32295.8
2호선,2026-06-24T07:59:00.000Z,131,43,-32348.4
2호선,2026-06-24T08:23:00.000Z,171,55,-32335.7
1호선,2026-06-24T18:18:00.000Z,186,50,-32324.2
9호선,2026-06-24T08:52:00.000Z,73,31,-32347.1
2호선,2026-06-24T18:36:00.000Z,105,46,-32334.2
9호선,2026-06-24T12:07:00.000Z,29,17,-32352.2
2호선,2026-06-24T18:58:00.000Z,75,41,-32354.1
2호선,2026-06-24T18:03:00.000Z,94,38,-32347.4
1호선,2026-06-24T18:27:00.000Z,193,43,-32322.8
9호선,2026-06-24T12:05:00.000Z,43,22,-32324.7
9호선,2026-06-24T08:29:00.000Z,78,28,-32325.7
9호선,2026-06-16T16:42:00.000Z,60,18,-30439.1
1호선,2026-06-24T08:50:00.000Z,188,54,-32318.5
1호선,2026-06-24T18:50:00.000Z,225,55,-32313.7
9호선,2026-06-16T17:29:00.000Z,30,20,-31360.9
2호선,2026-06-24T12:58:00.000Z,41,23,-32351.4
9호선,2026-06-24T12:22:00.000Z,38,22,-32343.4
1호선,2026-06-24T12:05:00.000Z,102,38,-32321.8
2호선,2026-06-24T07:52:00.000Z,119,51,-32331.6
2호선,2026-06-24T17:58:00.000Z,24,18,-32310.5
9호선,2026-06-16T16:29:00.000Z,60,17,-30047.9
9호선,2026-06-16T17:07:00.000Z,74,23,-31190.5
9호선,2026-06-16T17:23:00.000Z,26,20,-30999.4
1호선,2026-06-24T18:07:00.000Z,205,45,-32300.4
9호선,2026-06-24T12:54:00.000Z,34,23,-32345.2
1호선,2026-06-24T07:53:00.000Z,164,49,-32312.7
1호선,2026-06-24T08:48:00.000Z,183,50,-32312.0
1호선,2026-06-24T07:50:00.000Z,170,49,-32275.4
2호선,2026-06-24T12:35:00.000Z,60,34,-32356.7
2호선,2026-06-24T12:39:00.000Z,59,30,-32356.5
1호선,2026-06-24T08:02:00.000Z,155,42,-32334.9
9호선,2026-06-24T18:42:00.000Z,84,35,-32325.1
9호선,2026-06-24T08:51:00.000Z,91,37,-32323.2
1호선,2026-06-24T08:05:00.000Z,208,56,-32324.1
9호선,2026-06-24T12:25:00.000Z,55,20,-32328.7
1호선,2026-06-24T18:30:00.000Z,170,48,-32313.9
9호선,2026-06-24T18:23:00.000Z,80,25,-32323.2
9호선,2026-06-16T16:34:00.000Z,66,19,-30192.5
9호선,2026-06-16T17:16:00.000Z,36,16,-31469.0
1호선,2026-06-24T12:53:00.000Z,82,29,-32322.1
1호선,2026-06-24T18:12:00.000Z,201,50,-32314.2
9호선,2026-06-24T08:57:00.000Z,97,36,-32348.3
9호선,2026-06-24T12:53:00.000Z,44,25,-32345.7
1호선,2026-06-24T08:16:00.000Z,218,49,-32319.9
9호선,2026-06-24T18:43:00.000Z,82,31,-32331.6
2호선,2026-06-24T12:49:00.000Z,60,27,-32338.4
1호선,2026-06-24T18:33:00.000Z,217,48,-32314.0
1호선,2026-06-24T07:58:00.000Z,196,45,-32304.1
1호선,2026-06-24T18:53:00.000Z,194,46,-32319.5
9호선,2026-06-24T12:00:00.000Z,46,25,-32355.6
9호선,2026-06-24T12:34:00.000Z,37,20,-32353.2
1호선,2026-06-24T08:26:00.000Z,221,54,-32301.9
2호선,2026-06-24T12:51:00.000Z,56,30,-32342.5
1호선,2026-06-24T18:15:00.000Z,194,50,-32319.8
2호선,2026-06-24T18:37:00.000Z,116,43,-32351.6
1호선,2026-06-24T08:44:00.000Z,213,49,-32321.0
1호선,2026-06-24T08:27:00.000Z,213,47,-32292.8
1호선,2026-06-24T18:40:00.000Z,152,46,-32320.8
9호선,2026-06-24T17:57:00.000Z,3,1,-32188.0
2호선,2026-06-24T08:07:00.000Z,125,50,-32321.7
1호선,2026-06-24T12:39:00.000Z,117,38,-32325.3
1호선,2026-06-24T18:37:00.000Z,189,52,-32334.9
9호선,2026-06-24T08:11:00.000Z,64,27,-32302.0
2호선,2026-06-24T12:25:00.000Z,69,33,-32345.4
9호선,2026-06-24T08:04:00.000Z,74,34,-32345.4
1호선,2026-06-24T12:06:00.000Z,104,33,-32324.9
1호선,2026-06-24T12:34:00.000Z,73,29,-32327.8
1호선,2026-06-24T18:55:00.000Z,146,43,-32330.6
1호선,2026-06-24T12:26:00.000Z,94,31,-32315.6
2호선,2026-06-24T18:09:00.000Z,78,38,-32345.9
9호선,2026-06-16T17:41:00.000Z,41,24,-32081.8
1호선,2026-06-24T07:57:00.000Z,194,44,-32317.2
1호선,2026-06-24T18:56:00.000Z,212,57,-32329.9
9호선,2026-06-24T17:55:00.000Z,2,2,-32114.0
9호선,2026-06-24T08:17:00.000Z,63,32,-32315.5
9호선,2026-06-24T18:38:00.000Z,77,32,-32341.8
2호선,2026-06-24T12:23:00.000Z,53,29,-32348.5
9호선,2026-06-24T08:58:00.000Z,74,35,-32354.3
2호선,2026-06-24T18:47:00.000Z,103,43,-32334.2
2호선,2026-06-24T08:52:00.000Z,158,55,-32347.2
9호선,2026-06-24T12:48:00.000Z,40,20,-32336.8
2호선,2026-06-24T08:39:00.000Z,167,51,-32340.6
9호선,2026-06-24T12:56:00.000Z,42,21,-32350.1
9호선,2026-06-16T17:26:00.000Z,36,25,-31178.3
1호선,2026-06-24T18:24:00.000Z,180,49,-32322.2
9호선,2026-06-24T18:21:00.000Z,96,34,-32328.4
2호선,2026-06-24T18:13:00.000Z,124,48,-32347.2
9호선,2026-06-16T16:59:00.000Z,66,20,-30940.7
9호선,2026-06-24T18:54:00.000Z,89,35,-32339.5
2호선,2026-06-24T12:50:00.000Z,41,24,-32350.1
1호선,2026-06-24T08:19:00.000Z,214,39,-32311.5
9호선,2026-06-16T16:27:00.000Z,48,18,-29993.0
1호선,2026-06-24T12:18:00.000Z,113,36,-32325.9
9호선,2026-06-24T12:49:00.000Z,43,19,-32329.7
1호선,2026-06-24T08:15:00.000Z,182,46,-32323.4
1호선,2026-06-24T12:23:00.000Z,126,37,-32311.9
1호선,2026-06-24T08:59:00.000Z,40,31,-32374.9
9호선,2026-06-16T17:38:00.000Z,36,23,-31905.0
9호선,2026-06-16T17:18:00.000Z,84,21,-31508.3
1호선,2026-06-24T12:36:00.000Z,120,39,-32325.8
1호선,2026-06-24T08:13:00.000Z,285,54,-32294.3
2호선,2026-06-24T08:29:00.000Z,143,45,-32326.4
9호선,2026-06-24T07:50:00.000Z,47,32,-32312.1
9호선,2026-06-24T08:50:00.000Z,70,34,-32333.3
2호선,2026-06-24T08:46:00.000Z,137,47,-32335.1
9호선,2026-06-24T08:32:00.000Z,85,34,-32322.4
2호선,2026-06-24T12:33:00.000Z,54,29,-32356.1
9호선,2026-06-16T17:25:00.000Z,36,25,-31118.8
9호선,2026-06-24T12:10:00.000Z,51,25,-32345.7
2호선,2026-06-24T12:18:00.000Z,46,27,-32349.2
1호선,2026-06-24T08:39:00.000Z,228,51,-32322.8
9호선,2026-06-24T12:44:00.000Z,41,23,-32338.3
2호선,2026-06-24T12:53:00.000Z,47,24,-32350.7
2호선,2026-06-24T08:45:00.000Z,160,53,-32334.2
9호선,2026-06-16T16:50:00.000Z,58,21,-30681.3
1호선,2026-06-24T18:54:00.000Z,195,43,-32321.2
1호선,2026-06-24T07:46:00.000Z,1,1,-32104.0
1호선,2026-06-24T12:35:00.000Z,110,38,-32330.8
2호선,2026-06-24T18:25:00.000Z,108,42,-32337.5
1호선,2026-06-24T08:21:00.000Z,213,49,-32313.4
9호선,2026-06-24T12:59:00.000Z,10,10,-32366.4
1호선,2026-06-24T18:36:00.000Z,122,38,-32324.8
2호선,2026-06-24T08:06:00.000Z,120,39,-32339.4
9호선,2026-06-16T17:35:00.000Z,48,28,-31727.0
1호선,2026-06-24T12:44:00.000Z,88,35,-32331.0
9호선,2026-06-24T12:23:00.000Z,38,21,-32341.6
1호선,2026-06-24T08:52:00.000Z,223,50,-32320.1
2호선,2026-06-24T18:26:00.000Z,139,47,-32347.4
9호선,2026-06-24T18:05:00.000Z,82,31,-32334.3
1호선,2026-06-24T11:56:00.000Z,13,7,-32154.5
9호선,2026-06-16T16:19:00.000Z,22,4,-29689.4
1호선,2026-06-24T12:02:00.000Z,102,34,-32322.1
1호선,2026-06-24T08:43:00.000Z,204,48,-32318.9
2호선,2026-06-24T07:58:00.000Z,126,52,-32334.0
2호선,2026-06-24T12:43:00.000Z,56,29,-32352.1
9호선,2026-06-16T16:45:00.000Z,90,22,-30523.3
9호선,2026-06-16T17:17:00.000Z,76,25,-31499.1
9호선,2026-06-16T17:33:00.000Z,40,29,-31599.2
2호선,2026-06-24T08:13:00.000Z,95,36,-32328.2
1호선,2026-06-24T18:08:00.000Z,191,45,-32319.7
1호선,2026-06-24T07:56:00.000Z,221,52,-32317.1
2호선,2026-06-24T12:12:00.000Z,48,25,-32348.2
1호선,2026-06-24T17:59:00.000Z,196,50,-32305.9
1호선,2026-06-24T12:56:00.000Z,107,34,-32331.1
2호선,2026-06-24T12:04:00.000Z,60,31,-32347.8
9호선,2026-06-24T08:53:00.000Z,104,37,-32330.3
2호선,2026-06-24T08:03:00.000Z,114,49,-32345.6
1호선,2026-06-24T12:50:00.000Z,110,30,-32307.3
1호선,2026-06-24T07:59:00.000Z,244,52,-32328.1
1호선,2026-06-24T08:01:00.000Z,190,48,-32325.1
2호선,2026-06-24T08:01:00.000Z,83,39,-32347.7
9호선,2026-06-24T18:37:00.000Z,82,32,-32330.5
2호선,2026-06-24T18:12:00.000Z,92,34,-32348.4
9호선,2026-06-16T17:22:00.000Z,75,28,-31393.5
9호선,2026-06-16T17:11:00.000Z,88,26,-31300.8
2호선,2026-06-24T08:08:00.000Z,140,45,-32341.2
1호선,2026-06-24T18:52:00.000Z,209,44,-32316.6
2호선,2026-06-24T18:02:00.000Z,111,41,-32333.4
2호선,2026-06-24T08:21:00.000Z,114,41,-32338.5
2호선,2026-06-24T08:27:00.000Z,120,48,-32323.7
1호선,2026-06-24T18:25:00.000Z,142,44,-32319.3
2호선,2026-06-24T08:14:00.000Z,121,51,-32328.0
9호선,2026-06-24T12:14:00.000Z,59,23,-32320.7
9호선,2026-06-24T18:52:00.000Z,95,32,-32327.7
1호선,2026-06-24T08:28:00.000Z,192,48,-32317.6
1호선,2026-06-24T12:16:00.000Z,92,30,-32324.3
1호선,2026-06-24T18:21:00.000Z,182,45,-32322.1
9호선,2026-06-24T12:11:00.000Z,39,21,-32340.8
1호선,2026-06-24T08:34:00.000Z,240,53,-32299.6
1호선,2026-06-24T12:25:00.000Z,120,38,-32332.9
9호선,2026-06-16T16:32:00.000Z,88,25,-30142.2
1호선,2026-06-24T18:41:00.000Z,196,45,-32333.3
2호선,2026-06-24T07:53:00.000Z,95,48,-32333.3
9호선,2026-06-24T12:47:00.000Z,52,21,-32334.9
9호선,2026-06-16T17:19:00.000Z,57,21,-31543.4
2호선,2026-06-24T07:56:00.000Z,123,47,-32339.2
2호선,2026-06-24T12:26:00.000Z,51,26,-32340.8
1호선,2026-06-24T12:27:00.000Z,133,40,-32322.6
9호선,2026-06-16T17:04:00.000Z,80,27,-31102.5
9호선,2026-06-24T18:55:00.000Z,113,38,-32329.9
1호선,2026-06-24T08:56:00.000Z,184,47,-32322.0
2호선,2026-06-24T18:19:00.000Z,122,49,-32345.1
9호선,2026-06-24T18:47:00.000Z,96,39,-32332.3
9호선,2026-06-24T11:56:00.000Z,1,1,-32170.0
1호선,2026-06-24T08:11:00.000Z,144,43,-32319.2
2호선,2026-06-24T18:51:00.000Z,131,45,-32341.0
9호선,2026-06-24T07:54:00.000Z,55,28,-32325.0
9호선,2026-06-16T16:57:00.000Z,66,22,-30889.7
9호선,2026-06-16T16:51:00.000Z,80,25,-30706.7
1호선,2026-06-24T07:51:00.000Z,167,46,-32312.2
9호선,2026-06-24T12:19:00.000Z,53,23,-32309.4
2호선,2026-06-24T12:01:00.000Z,47,27,-32345.5
2호선,2026-06-24T08:42:00.000Z,121,53,-32344.2
2호선,2026-06-24T08:41:00.000Z,84,42,-32338.0
9호선,2026-06-24T18:28:00.000Z,81,31,-32327.1
1호선,2026-06-24T07:54:00.000Z,204,52,-32304.4
9호선,2026-06-16T17:24:00.000Z,36,25,-31063.6
1호선,2026-06-24T18:22:00.000Z,177,47,-32320.7
1호선,2026-06-24T12:32:00.000Z,89,32,-32311.7
9호선,2026-06-24T08:20:00.000Z,31,10,-32328.4
2호선,2026-06-24T18:06:00.000Z,109,42,-32346.3
2호선,2026-06-24T08:59:00.000Z,35,35,-32369.9
1호선,2026-06-24T12:57:00.000Z,85,30,-32336.3
2호선,2026-06-24T12:13:00.000Z,53,28,-32355.1
